pose_id,pose_name,pose_family,stl_file,bone_coordinates_csv,mask_file,mask_shape,mask_dtype,mask_nonzero_voxels,stl_size_bytes,mask_size_bytes
99,pose_arm_17.8deg,both_arm_or_forearm_sweep,poses/99.stl,poses/99.csv,numpy_masks_poses/99_mask.npy,63x184x85,float32,120011,4082334,3941408
100,pose_arm_20.0deg,both_arm_or_forearm_sweep,poses/100.stl,poses/100.csv,numpy_masks_poses/100_mask.npy,63x184x85,float32,119888,4082334,3941408
101,pose_arm_0.0deg,both_arm_or_forearm_sweep,poses/101.stl,poses/101.csv,numpy_masks_poses/101_mask.npy,63x184x85,float32,108959,4082334,3941408
102,pose_arm_2.2deg,both_arm_or_forearm_sweep,poses/102.stl,poses/102.csv,numpy_masks_poses/102_mask.npy,63x184x85,float32,108895,4082334,3941408
103,pose_arm_4.4deg,both_arm_or_forearm_sweep,poses/103.stl,poses/103.csv,numpy_masks_poses/103_mask.npy,63x184x85,float32,110402,4082334,3941408
104,pose_arm_6.7deg,both_arm_or_forearm_sweep,poses/104.stl,poses/104.csv,numpy_masks_poses/104_mask.npy,63x184x85,float32,110452,4082334,3941408
105,pose_arm_8.9deg,both_arm_or_forearm_sweep,poses/105.stl,poses/105.csv,numpy_masks_poses/105_mask.npy,63x184x85,float32,110481,4082334,3941408
106,pose_arm_11.1deg,both_arm_or_forearm_sweep,poses/106.stl,poses/106.csv,numpy_masks_poses/106_mask.npy,63x184x85,float32,111998,4082334,3941408
107,pose_arm_13.3deg,both_arm_or_forearm_sweep,poses/107.stl,poses/107.csv,numpy_masks_poses/107_mask.npy,63x184x85,float32,112031,4082334,3941408
108,pose_arm_15.6deg,both_arm_or_forearm_sweep,poses/108.stl,poses/108.csv,numpy_masks_poses/108_mask.npy,63x184x85,float32,113284,4082334,3941408
109,pose_arm_17.8deg,both_arm_or_forearm_sweep,poses/109.stl,poses/109.csv,numpy_masks_poses/109_mask.npy,63x184x85,float32,113362,4082334,3941408
110,pose_arm_20.0deg,both_arm_or_forearm_sweep,poses/110.stl,poses/110.csv,numpy_masks_poses/110_mask.npy,63x184x85,float32,115140,4082334,3941408
111,pose_arm_0.0deg,both_arm_or_forearm_sweep,poses/111.stl,poses/111.csv,numpy_masks_poses/111_mask.npy,63x184x85,float32,100853,4082334,3941408
112,pose_arm_1.7deg,both_arm_or_forearm_sweep,poses/112.stl,poses/112.csv,numpy_masks_poses/112_mask.npy,63x184x85,float32,102433,4082334,3941408
113,pose_arm_3.3deg,both_arm_or_forearm_sweep,poses/113.stl,poses/113.csv,numpy_masks_poses/113_mask.npy,63x184x85,float32,102607,4082334,3941408
114,pose_arm_5.0deg,both_arm_or_forearm_sweep,poses/114.stl,poses/114.csv,numpy_masks_poses/114_mask.npy,63x184x85,float32,102646,4082334,3941408
115,pose_arm_6.7deg,both_arm_or_forearm_sweep,poses/115.stl,poses/115.csv,numpy_masks_poses/115_mask.npy,63x184x85,float32,102732,4082334,3941408
116,pose_arm_8.3deg,both_arm_or_forearm_sweep,poses/116.stl,poses/116.csv,numpy_masks_poses/116_mask.npy,63x184x85,float32,102719,4082334,3941408
117,pose_arm_10.0deg,both_arm_or_forearm_sweep,poses/117.stl,poses/117.csv,numpy_masks_poses/117_mask.npy,63x184x85,float32,102778,4082334,3941408
118,pose_arm_11.7deg,both_arm_or_forearm_sweep,poses/118.stl,poses/118.csv,numpy_masks_poses/118_mask.npy,63x184x85,float32,104766,4082334,3941408
119,pose_arm_13.3deg,both_arm_or_forearm_sweep,poses/119.stl,poses/119.csv,numpy_masks_poses/119_mask.npy,63x184x85,float32,104691,4082334,3941408
120,pose_arm_15.0deg,both_arm_or_forearm_sweep,poses/120.stl,poses/120.csv,numpy_masks_poses/120_mask.npy,63x184x85,float32,104695,4082334,3941408
